index,Company,TypeName,Inches,Resolution_Width,Resolution_Heigth,Touch_Screen,Cpu_Brand,Cpu_Name,Cpu_Speed,Ram,Memory_Type,Primary_Storage,Secondary_Storage,Gpu_Brand,OpSys,Weigth(kg),Price
1089,Acer,Notebook,15.6,1366,768,No,AMD,"A8-Series 7410",2.2GHz,4,HDD,500,0,AMD,windows,2.4,20619.4
1090,Dell,Notebook,15.6,1366,768,No,Intel,"Pentium Quad",1.6GHz,4,HDD,500,0,Intel,linux,2.2,20965.1
1091,HP,Notebook,15.6,1366,768,No,Intel,"Core i3",2GHz,4,HDD,1024,0,Intel,N/A,1.86,18434.3
1092,Asus,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.8GHz,8,Hybrid,256,1024,Nvidia,windows,2.7,85194.7
1093,Dell,Ultrabook,13.3,1920,1080,No,Intel,"Core i5",1.6GHz,4,SDD,256,0,AMD,windows,1.4,43601.7
1094,HP,Netbook,12.5,1366,768,No,Intel,"Core i5",2.3GHz,4,SDD,128,0,Intel,windows,2.4,85194.7
1095,Acer,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,8,Hybrid,256,1024,Nvidia,windows,2.4,42570.7
1096,Dell,Notebook,15.6,1920,1080,No,Intel,"Core i5",2.5GHz,8,HDD,1024,0,AMD,windows,2.36,34035.3
1097,MSI,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.6GHz,8,SDD,256,0,Nvidia,windows,2.6,85194.7
1098,HP,Notebook,15.6,1366,768,No,Intel,"Pentium Quad",1.6GHz,4,HDD,1024,0,Intel,windows,1.96,26640.0
1099,Asus,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.6GHz,16,Hybrid,128,1024,Nvidia,windows,4.3,122490.7
1100,Dell,Ultrabook,12.5,1366,768,No,Intel,"Core i3",2.3GHz,4,HDD,500,0,Intel,windows,1.5,60480.8
1101,Dell,Ultrabook,12.5,1366,768,No,Intel,"Core i3",2.3GHz,4,SDD,128,0,Intel,windows,1.5,62176.2
1102,Acer,Notebook,15.6,1366,768,No,Intel,"Celeron Dual",1.5GHz,4,SDD,16,0,Intel,other,2.20,11135.5
1103,HP,Workstation,17.3,1920,1080,No,Intel,"Core i7",2.6GHz,8,HDD,1024,0,AMD,windows,3.0,154458.7
1104,Lenovo,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.8GHz,16,SDD,512,0,Nvidia,windows,2.4,63882.7
1105,Dell,Ultrabook,12.5,1366,768,No,Intel,"Core i5",2.3GHz,8,SDD,256,0,Intel,windows,1.5,75290.0
1106,MSI,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.6GHz,8,Hybrid,128,1024,Nvidia,windows,2.9,80516.2
1107,Lenovo,"2 in 1 Convertible",15.6,1920,1080,Yes,Intel,"Core i5",2.3GHz,4,SDD,256,0,Intel,windows,2.1,46193.8
1108,HP,Notebook,15.6,1920,1080,No,AMD,"A6-Series 9220",2.5GHz,4,HDD,1024,0,AMD,windows,2.1,21205.4
1109,Asus,Gaming,15.6,1920,1080,No,Intel,"Core i7",2.6GHz,16,Hybrid,128,1024,Nvidia,windows,2.59,71341.9
1110,HP,Notebook,13.3,3200,1800,Yes,Intel,"Core M",1.1GHz,8,SDD,256,0,Intel,windows,1.16,90522.7
1111,Dell,Notebook,15.6,1366,768,No,Intel,"Core i5",2.3GHz,4,HDD,500,0,AMD,windows,2.24,40980.3
1112,Lenovo,Notebook,15.6,1366,768,No,Intel,"Core i3",2.0GHz,4,SDD,128,0,Intel,windows,2.1,22857.1
1113,HP,Ultrabook,13.3,1920,1080,No,Intel,"Core i7",2.5GHz,8,SDD,512,0,Intel,windows,1.16,104908.3
1114,Lenovo,"2 in 1 Convertible",10.1,1920,1200,Yes,Intel,"Atom x5-Z8550",1.44GHz,4,"Flash Storage",64,0,Intel,other,0.69,29250.7
1115,Dell,Ultrabook,13.3,1920,1080,No,Intel,"Core i7",2.4GHz,8,SDD,256,0,Intel,windows,1.23,73473.1
1116,Lenovo,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.7GHz,16,SDD,256,1024,Nvidia,windows,4.6,146519.5
1117,Razer,Ultrabook,12.5,3840,2160,Yes,Intel,"Core i7",2.5GHz,8,SDD,256,0,Intel,windows,1.25,54825.1
1118,Toshiba,Ultrabook,13.3,1920,1080,No,Intel,"Core i7",2.7GHz,16,SDD,512,0,Intel,windows,1.05,118601.3
1119,Asus,Gaming,17.3,1920,1080,No,Intel,"Core i7",2.6GHz,8,Hybrid,128,1024,Nvidia,windows,3.52,69929.5
1120,Vero,Notebook,13.3,1920,1080,No,Intel,"Atom X5-Z8350",1.44GHz,4,"Flash Storage",32,0,Intel,windows,1.35,10442.9
1121,HP,Notebook,13.3,1920,1080,No,Intel,"Core i5",2.3GHz,8,SDD,256,0,Intel,windows,1.16,90043.2
1122,HP,Notebook,14.0,1920,1080,No,Intel,"Core i5",2.3GHz,8,SDD,256,0,Intel,windows,1.43,80612.6
1123,Dell,Notebook,15.6,1366,768,No,Intel,"Core i5",2.3GHz,4,HDD,500,0,Intel,linux,2.09,27899.0
1124,Asus,Notebook,15.6,1366,768,No,Intel,"Core i3",2.4GHz,4,HDD,1024,0,Intel,windows,2,23176.8
1125,Lenovo,"2 in 1 Convertible",14.0,1920,1080,Yes,Intel,"Core i7",2.5GHz,8,SDD,256,0,Intel,windows,1.8,88924.3
